molecule_chembl_id,canonical_smiles,standard_value,pchembl_value,bioactivity_class
CHEMBL1779697,N[C@@H](CC(=O)N1CCN(Cc2ccccc2C(F)(F)F)C(=O)C1)Cc1cc(F)c(F)cc1F,50.7,7.29,Ara Bileşik
CHEMBL1779698,CCc1ccc(CN2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CC2=O)cc1,38.9,7.41,Aktif
CHEMBL1779699,COc1ccc(CN2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CC2=O)cc1,33.9,7.47,Aktif
CHEMBL1779700,N[C@@H](CC(=O)N1CCN(Cc2ccc(F)cc2)C(=O)C1)Cc1cc(F)c(F)cc1F,33.8,7.47,Aktif
CHEMBL1779701,N[C@@H](CC(=O)N1CCN(Cc2ccc(I)cc2)C(=O)C1)Cc1cc(F)c(F)cc1F,30.8,7.51,Aktif
CHEMBL1779702,N[C@@H](CC(=O)N1CCN(Cc2cccc(Cl)c2)C(=O)C1)Cc1cc(F)c(F)cc1F,26.7,7.57,Aktif
CHEMBL1779703,N[C@@H](CC(=O)N1CCN(Cc2ccccc2Cl)C(=O)C1)Cc1cc(F)c(F)cc1F,29.0,7.54,Aktif
CHEMBL1779704,COc1cc(CN2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CC2=O)c([N+](=O)[O-])cc1OC,7.4,8.13,Aktif
CHEMBL1779705,N[C@@H](CC(=O)N1CCNC(=O)[C@H]1CO)Cc1cc(F)c(F)cc1F,12.0,7.92,Aktif
CHEMBL1779706,COC[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,7.4,8.13,Aktif
CHEMBL1779707,CCOC[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,4.3,8.37,Aktif
CHEMBL1779708,N[C@@H](CC(=O)N1CCNC(=O)[C@H]1COC1CCCC1)Cc1cc(F)c(F)cc1F,1.7,8.77,Aktif
CHEMBL1779709,CC(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,2.2,8.66,Aktif
CHEMBL1779710,CC(C)(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,0.9,9.05,Aktif
CHEMBL1779711,CCN(C)C[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,17.0,7.77,Aktif
CHEMBL1779712,CCN(CC)C[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,11.0,7.96,Aktif
CHEMBL1779713,N[C@@H](CC(=O)N1CCNC(=O)[C@H]1CN1CCOCC1)Cc1cc(F)c(F)cc1F,5.2,8.28,Aktif
CHEMBL1779714,CC(C)(C)SC[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,1.3,8.89,Aktif
CHEMBL1809262,CC(C)Cc1nc2ccc(OCC(N)=O)cc2c(-c2ccccc2)c1CN,34.0,7.47,Aktif
CHEMBL1809263,CC(C)Cc1nc2ccc(OCC(N)=O)cc2c(-c2cccc(F)c2)c1CN,49.0,7.31,Aktif
CHEMBL1809264,Cc1cccc(-c2c(CN)c(CC(C)C)nc3ccc(OCC(N)=O)cc23)c1,57.0,7.24,Ara Bileşik
CHEMBL1808463,CC(C)Cc1nc2ccc(OCC(N)=O)cc2c(-c2ccc(F)cc2)c1CN,26.0,7.58,Aktif
CHEMBL1808464,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(OCC(N)=O)cc23)cc1,4.2,8.38,Aktif
CHEMBL3216514,COC(=O)COc1ccc2nc(CC(C)C)c(CN)c(-c3ccc(C)cc3)c2c1.Cl.Cl,84.0,7.08,Ara Bileşik
CHEMBL3215633,CNC(=O)COc1ccc2nc(CC(C)C)c(CN)c(-c3ccc(C)cc3)c2c1.Cl.Cl,52.0,7.28,Ara Bileşik
CHEMBL3216748,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(CCC(N)=O)cc23)cc1.Cl.Cl,7.5,8.12,Aktif
CHEMBL1808468,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(/C=C/C(N)=O)cc23)cc1,1.8,8.74,Aktif
CHEMBL3216749,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(C(N)=O)cc23)cc1.Cl.Cl,55.0,7.26,Ara Bileşik
CHEMBL3215858,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(C(=O)O)cc23)cc1.Cl.Cl,100.0,7.0,Ara Bileşik
